"","Name","Year","dissolved","Mangrovecover"
"1","Barras de Cuero y Salado","1996",FALSE,0
"2","Capiro y Calentura","1996",FALSE,0
"3","Cuyamel","1996",FALSE,0
"4","Islas de la Bahia","1996",FALSE,681.749928513404
"5","Omoa","1996",FALSE,0
"6","Pico Bonito","1996",FALSE,0
"7","Texiguat","1996",FALSE,0
"8","Barras de Cuero y Salado","2017",FALSE,0
"9","Capiro y Calentura","2017",FALSE,0
"10","Cuyamel","2017",FALSE,0
"11","Islas de la Bahia","2017",FALSE,631.98033709287
"12","Omoa","2017",FALSE,0
"13","Pico Bonito","2017",FALSE,0
"14","Texiguat","2017",FALSE,0
"15","Barras de Cuero y Salado","2018",FALSE,0
"16","Capiro y Calentura","2018",FALSE,0
"17","Cuyamel","2018",FALSE,0
"18","Islas de la Bahia","2018",FALSE,647.490150749583
"19","Omoa","2018",FALSE,0
"20","Pico Bonito","2018",FALSE,0
"21","Texiguat","2018",FALSE,0
"22","Barras de Cuero y Salado","2019",FALSE,0
"23","Capiro y Calentura","2019",FALSE,0
"24","Cuyamel","2019",FALSE,0
"25","Islas de la Bahia","2019",FALSE,644.890725442543
"26","Omoa","2019",FALSE,0
"27","Pico Bonito","2019",FALSE,0
"28","Texiguat","2019",FALSE,0
"29","Barras de Cuero y Salado","2020",FALSE,0
"30","Capiro y Calentura","2020",FALSE,0
"31","Cuyamel","2020",FALSE,0
"32","Islas de la Bahia","2020",FALSE,638.324735533267
"33","Omoa","2020",FALSE,0
"34","Pico Bonito","2020",FALSE,0
"35","Texiguat","2020",FALSE,0
"36","Barras de Cuero y Salado","1996",TRUE,0
"37","Capiro y Calentura","1996",TRUE,0
"38","Cuyamel","1996",TRUE,0
"39","Islas de la Bahia","1996",TRUE,681.749928513404
"40","Omoa","1996",TRUE,0
"41","Pico Bonito","1996",TRUE,0
"42","Texiguat","1996",TRUE,0
"43","Barras de Cuero y Salado","2017",TRUE,0
"44","Capiro y Calentura","2017",TRUE,0
"45","Cuyamel","2017",TRUE,0
"46","Islas de la Bahia","2017",TRUE,631.98033709287
"47","Omoa","2017",TRUE,0
"48","Pico Bonito","2017",TRUE,0
"49","Texiguat","2017",TRUE,0
"50","Barras de Cuero y Salado","2018",TRUE,0
"51","Capiro y Calentura","2018",TRUE,0
"52","Cuyamel","2018",TRUE,0
"53","Islas de la Bahia","2018",TRUE,647.490150749583
"54","Omoa","2018",TRUE,0
"55","Pico Bonito","2018",TRUE,0
"56","Texiguat","2018",TRUE,0
"57","Barras de Cuero y Salado","2019",TRUE,0
"58","Capiro y Calentura","2019",TRUE,0
"59","Cuyamel","2019",TRUE,0
"60","Islas de la Bahia","2019",TRUE,644.890725442543
"61","Omoa","2019",TRUE,0
"62","Pico Bonito","2019",TRUE,0
"63","Texiguat","2019",TRUE,0
"64","Barras de Cuero y Salado","2020",TRUE,0
"65","Capiro y Calentura","2020",TRUE,0
"66","Cuyamel","2020",TRUE,0
"67","Islas de la Bahia","2020",TRUE,638.324735533267
"68","Omoa","2020",TRUE,0
"69","Pico Bonito","2020",TRUE,0
"70","Texiguat","2020",TRUE,0
